Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Extracellular Matrix Organization (GO:0030198)	15/176	3.693969e-05	2.820154e-03	0	0	3.722858e+00	3.799632e+01	POSTN;TGFB2;COL14A1;LOXL3;P3H4;ADAMTS15;ADAMTS5;BMP1;CREB3L1;PXDN;SERPINH1;TGFBI;ADAMTS6;ADAMTS7;DDR2
GO_Biological_Process_2023	Positive Regulation Of Cell Cycle Process (GO:0090068)	12/118	3.964202e-05	2.907375e-03	0	0	4.508543e+00	4.569688e+01	PDGFRB;PLK4;SVIL;NCAPG2;MAP3K20;NCAPG;BIRC5;CDC6;NCAPH;NDC80;E2F7;AURKA
GO_Biological_Process_2023	Sprouting Angiogenesis (GO:0002040)	8/52	4.070850e-05	2.907375e-03	0	0	7.204962e+00	7.283549e+01	BMP4;CCBE1;ANGPT1;VEGFC;PARVA;THBS1;E2F7;VEGFA
GO_Biological_Process_2023	Negative Regulation Of Angiogenesis (GO:0016525)	10/86	5.541021e-05	3.833694e-03	0	0	5.226832e+00	5.122686e+01	TGFB2;SPARC;NIBAN2;STAT1;CREB3L1;SERPINE1;PGK1;EMILIN1;SULF1;THBS1
GO_Biological_Process_2023	Regulation Of Angiogenesis (GO:0045765)	16/205	5.980190e-05	4.012164e-03	0	0	3.384841e+00	3.291580e+01	TGFB2;SPARC;NIBAN2;STAT1;SERPINE1;WNT5A;TWIST1;VEGFC;HMGA2;SULF1;THBS1;RUNX1;VEGFA;GPNMB;PGK1;EMILIN1
GO_Biological_Process_2023	Regulation Of Collagen Biosynthetic Process (GO:0032965)	5/18	6.203707e-05	4.039708e-03	0	0	1.517284e+01	1.469911e+02	BMP4;CREB3L1;EMILIN1;VIM;RUNX1
GO_Biological_Process_2023	Kidney Development (GO:0001822)	9/71	6.575783e-05	4.159653e-03	0	0	5.758756e+00	5.545412e+01	TFAP2A;BMP4;OSR2;TGFB2;CENPF;AGTR1;GDF6;SULF1;VEGFA
GO_Biological_Process_2023	Mitotic DNA Damage Checkpoint Signaling (GO:0044773)	8/56	7.042238e-05	4.330976e-03	0	0	6.603191e+00	6.313310e+01	CDKN1A;DEPDC1B;CCND1;CHEK1;CDK2;CDK1;CLSPN;TICRR
GO_Biological_Process_2023	Mitotic G2 DNA Damage Checkpoint Signaling (GO:0007095)	6/30	8.349956e-05	4.996433e-03	0	0	9.876775e+00	9.274953e+01	CDKN1A;DEPDC1B;CHEK1;CDK1;CLSPN;TICRR
GO_Biological_Process_2023	Positive Regulation Of Cell Population Proliferation (GO:0008284)	27/483	8.943155e-05	5.164573e-03	0	0	2.389120e+00	2.227146e+01	YAP1;CDKN1A;TTK;THBS1;ACTB;PDGFC;NTF3;TIMP1;PDGFRB;OSR2;PDGFRA;TGFB2;TSLP;STAT1;WNT5A;VEGFC;HMGA2;VEGFA;FOSL1;BMP4;BST1;CLCF1;CDK2;BIRC5;CALR;NES;DDR2
GO_Biological_Process_2023	Renal System Development (GO:0072001)	8/58	9.097486e-05	5.164573e-03	0	0	6.338411e+00	5.897846e+01	TFAP2A;BMP4;TGFB2;CENPF;STAT1;AGTR1;SULF1;VEGFA
GO_Biological_Process_2023	Skeletal System Development (GO:0001501)	13/149	9.497410e-05	5.256816e-03	0	0	3.808778e+00	3.527655e+01	TEAD4;TGFB2;WNT5A;P3H1;STC1;SULF1;BMP1;CDH11;PLS3;PPIB;PITX1;NKX3-2;CD44
GO_Biological_Process_2023	Bone Development (GO:0060348)	7/44	9.937347e-05	5.348526e-03	0	0	7.484509e+00	6.898191e+01	TFAP2A;OSR2;STC1;PLS3;P3H1;SULF1;PPIB
GO_Biological_Process_2023	Regulation Of Cell Migration (GO:0030334)	25/434	1.014625e-04	5.348526e-03	0	0	2.462010e+00	2.264020e+01	CEMIP;CD151;SEMA3C;SERPINE1;STC1;TWIST1;NEXN;THBS1;ACTG1;GPNMB;PLAU;PDGFC;NTF3;EMILIN1;PDGFRB;PDGFRA;JAG1;ANXA1;APLP2;CAV1;TPM1;SULF1;VEGFA;CDH11;VCL
GO_Biological_Process_2023	Mitotic Sister Chromatid Segregation (GO:0000070)	11/111	1.045666e-04	5.383962e-03	0	0	4.373176e+00	4.008316e+01	CENPE;CCNB1;KIF18B;NCAPG2;CENPK;NCAPG;KIF2C;NCAPH;NDC80;ZWINT;CEP55
GO_Biological_Process_2023	Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010971)	5/21	1.384950e-04	6.968818e-03	0	0	1.232604e+01	1.095129e+02	CCNB1;CCND1;CDK1;CDC25C;CDC25A
GO_Biological_Process_2023	Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992)	8/63	1.648599e-04	8.111107e-03	0	0	5.760711e+00	5.017818e+01	CDC20;CCNB1;ANXA1;CCND1;UBE2C;CDK1;CDC25C;CDC25A
GO_Biological_Process_2023	Sister Chromatid Segregation (GO:0000819)	6/34	1.738037e-04	8.365247e-03	0	0	8.464068e+00	7.327838e+01	TOP2A;KIF18B;NCAPG2;CENPK;NDC80;ZWINT
GO_Biological_Process_2023	Regulation Of Apoptotic Process (GO:0042981)	34/705	2.053951e-04	9.488456e-03	0	0	2.051889e+00	1.742171e+01	TOP2A;ARF4;TFRC;FSTL1;THBS1;ACTB;HSP90B1;SIX4;NTF3;IGF2BP1;MAP3K20;PMAIP1;EMILIN1;TFAP2A;ANXA1;NIBAN2;TSLP;ANGPT1;TNFRSF12A;STAT1;ACTN1;WNT5A;PLAUR;PAWR;HMGA2;ANO6;VEGFA;BMP4;AXL;CDK1;BIRC5;ALPK2;CALR;CD44
GO_Biological_Process_2023	Regulation Of Cell-Matrix Adhesion (GO:0001952)	8/65	2.057118e-04	9.488456e-03	0	0	5.558009e+00	4.718213e+01	BST1;JAG1;PLAU;CD36;TLN1;THBS1;VCL;ACTG1
GO_Biological_Process_2023	Negative Regulation Of Apoptotic Process (GO:0043066)	26/482	2.113859e-04	9.551190e-03	0	0	2.295770e+00	1.942640e+01	YAP1;ARF4;TFRC;FSTL1;THBS1;HSP90B1;NTF4;SIX4;NTF3;TFAP2A;ANXA1;NIBAN2;TSLP;ANGPT1;BDNF;CAV1;WNT5A;PLAUR;HMGA2;VEGFA;BMP4;AXL;CLCF1;CDK1;BIRC5;CD44
GO_Biological_Process_2023	Regulation Of Trophoblast Cell Migration (GO:1901163)	4/13	2.288448e-04	9.743509e-03	0	0	1.750123e+01	1.467035e+02	SYDE1;CALR;TIMP1;VEGFA
GO_Biological_Process_2023	Response To Progesterone (GO:0032570)	4/13	2.288448e-04	9.743509e-03	0	0	1.750123e+01	1.467035e+02	YAP1;TGFB2;CAV1;THBS1
GO_Biological_Process_2023	Positive Regulation Of Chromosome Separation (GO:1905820)	4/13	2.288448e-04	9.743509e-03	0	0	1.750123e+01	1.467035e+02	NCAPG2;NCAPG;BIRC5;NCAPH
GO_Biological_Process_2023	Positive Regulation Of Phosphorylation (GO:0042327)	16/231	2.397841e-04	1.001664e-02	0	0	2.971506e+00	2.476979e+01	PDGFRB;NIBAN1;PDGFRA;CDKN1A;TFRC;ANGPT1;PLAUR;VEGFC;THBS1;VEGFA;BMP4;GPNMB;CCND1;AXL;BIRC5;DDR2
GO_Biological_Process_2023	Mitotic Spindle Organization (GO:0007052)	9/85	2.672590e-04	1.094721e-02	0	0	4.694549e+00	3.862343e+01	CENPE;CCNB1;KIF4A;RCC1;BIRC5;TTK;NDC80;AURKA;SPC25
GO_Biological_Process_2023	Positive Regulation Of Cell Cycle G2/M Phase Transition (GO:1902751)	5/24	2.719497e-04	1.094721e-02	0	0	1.037822e+01	8.520410e+01	CCNB1;CCND1;CDK1;CDC25C;CDC25A
GO_Biological_Process_2023	Negative Regulation Of Plasminogen Activation (GO:0010757)	3/6	2.919054e-04	1.115330e-02	0	0	3.931048e+01	3.199512e+02	PLAU;SERPINE1;THBS1
GO_Biological_Process_2023	Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990)	9/86	2.920207e-04	1.115330e-02	0	0	4.633342e+00	3.770932e+01	CENPE;CDKN1A;CENPF;UBE2C;APLP2;CDK2;MAP3K20;CDC6;AURKA
GO_Biological_Process_2023	Cartilage Development (GO:0051216)	7/52	2.921823e-04	1.115330e-02	0	0	6.151400e+00	5.006091e+01	BMP4;OSR2;HMGA2;SULF1;SLC39A14;GDF5;CD44
GO_Biological_Process_2023	Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029)	7/53	3.295064e-04	1.236487e-02	0	0	6.017365e+00	4.824672e+01	CDKN1A;CCNB1;CCND1;CDC6;CDC25C;CDC25A;CDKN3
GO_Biological_Process_2023	Regulation Of Endothelial Cell Migration (GO:0010594)	9/88	3.472548e-04	1.281370e-02	0	0	4.515577e+00	3.596861e+01	BMP4;SPARC;ANGPT1;WNT5A;STC1;NR2F2;CALR;THBS1;VEGFA
GO_Biological_Process_2023	Positive Regulation Of Collagen Biosynthetic Process (GO:0032967)	4/15	4.198863e-04	1.523981e-02	0	0	1.431772e+01	1.113278e+02	BMP4;CREB3L1;VIM;RUNX1
GO_Biological_Process_2023	Regulation Of Epithelial Cell Proliferation (GO:0050678)	9/91	4.460504e-04	1.592832e-02	0	0	4.349701e+00	3.355829e+01	YAP1;BMP4;OSR2;TGFB2;SIX4;ANGPT1;B2M;GDF5;VEGFA
GO_Biological_Process_2023	Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000377)	7/56	4.649115e-04	1.608303e-02	0	0	5.648084e+00	4.334149e+01	PDGFRB;TFAP2A;ARF4;BST1;CDKN1A;AGTR1;THBS1
GO_Biological_Process_2023	Positive Regulation Of Cellular Metabolic Process (GO:0031325)	7/56	4.649115e-04	1.608303e-02	0	0	5.648084e+00	4.334149e+01	PDGFRB;CDKN1A;CCNB1;AGTR1;CDK1;B2M;THBS1
GO_Biological_Process_2023	Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900)	10/112	4.980827e-04	1.632489e-02	0	0	3.889290e+00	2.957706e+01	CCNB1;CDKN1A;CCND1;HMGA2;TRIB3;CDC6;CDC25C;ACTB;CDC25A;CDKN3
GO_Biological_Process_2023	Regulation Of Chromosome Condensation (GO:0060623)	3/7	5.013684e-04	1.632489e-02	0	0	2.948135e+01	2.240043e+02	NCAPG2;NCAPG;NCAPH
GO_Biological_Process_2023	Positive Regulation Of Chromosome Condensation (GO:1905821)	3/7	5.013684e-04	1.632489e-02	0	0	2.948135e+01	2.240043e+02	NCAPG2;NCAPG;NCAPH
GO_Biological_Process_2023	Positive Regulation Of Ossification (GO:0045778)	6/41	5.013969e-04	1.632489e-02	0	0	6.768821e+00	5.143026e+01	TFAP2A;BMP4;OSR2;WNT5A;ANO6;TENT5A
GO_Biological_Process_2023	Positive Regulation Of Cell Migration (GO:0030335)	17/272	5.133949e-04	1.647328e-02	0	0	2.661964e+00	2.016295e+01	PDGFRB;PDGFRA;CEMIP;TGFB2;CD151;SEMA3C;CAV1;TWIST1;THBS1;VEGFA;SYDE1;GPNMB;PLAU;PDGFC;NTF3;PFN1;DDR2
GO_Biological_Process_2023	Regulation Of Fibrinolysis (GO:0051917)	4/16	5.488622e-04	1.687751e-02	0	0	1.312391e+01	9.852986e+01	PLAU;SERPINE1;PLAUR;THBS1
GO_Biological_Process_2023	Nuclear Chromosome Segregation (GO:0098813)	4/16	5.488622e-04	1.687751e-02	0	0	1.312391e+01	9.852986e+01	TOP2A;CENPF;KIF2C;NDC80
GO_Biological_Process_2023	Positive Regulation Of Collagen Metabolic Process (GO:0010714)	4/16	5.488622e-04	1.687751e-02	0	0	1.312391e+01	9.852986e+01	BMP4;CREB3L1;VIM;RUNX1
GO_Biological_Process_2023	Positive Regulation Of Fibroblast Proliferation (GO:0048146)	5/28	5.791947e-04	1.756626e-02	0	0	8.571554e+00	6.389127e+01	PDGFRA;CDKN1A;PDGFC;WNT5A;DDR2
GO_Biological_Process_2023	Positive Regulation Of Epithelial Cell Migration (GO:0010634)	9/95	6.126340e-04	1.832935e-02	0	0	4.146535e+00	3.067500e+01	BMP4;TGFB2;SPARC;ANGPT1;WNT5A;CALR;PFN1;THBS1;VEGFA
GO_Biological_Process_2023	Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260)	6/43	6.518306e-04	1.899909e-02	0	0	6.402281e+00	4.696538e+01	ANGPT1;ANXA2;SERPINE1;NTF3;B2M;VEGFA
GO_Biological_Process_2023	Negative Regulation Of Blood Vessel Morphogenesis (GO:2000181)	8/77	6.610137e-04	1.899909e-02	0	0	4.588565e+00	3.359626e+01	TGFB2;SPARC;NIBAN2;STAT1;PGK1;EMILIN1;SULF1;THBS1
GO_Biological_Process_2023	Chondrocyte Differentiation (GO:0002062)	5/29	6.856468e-04	1.899909e-02	0	0	8.213984e+00	5.984009e+01	BMP4;OSR2;HMGA2;SULF1;SLC39A14
GO_Biological_Process_2023	Response To Steroid Hormone (GO:0048545)	5/29	6.856468e-04	1.899909e-02	0	0	8.213984e+00	5.984009e+01	YAP1;TGFB2;CAV1;TFPI;THBS1
GO_Biological_Process_2023	DNA Replication Checkpoint Signaling (GO:0000076)	4/17	7.036700e-04	1.899909e-02	0	0	1.211375e+01	8.793617e+01	ORC1;CDC6;CLSPN;TICRR
GO_Biological_Process_2023	Hippo Signaling (GO:0035329)	4/17	7.036700e-04	1.899909e-02	0	0	1.211375e+01	8.793617e+01	TEAD4;YAP1;TEAD1;TEAD3
GO_Biological_Process_2023	Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706)	4/17	7.036700e-04	1.899909e-02	0	0	1.211375e+01	8.793617e+01	BMP4;CNN1;CDKN1A;TPM1
GO_Biological_Process_2023	Positive Regulation Of Cartilage Development (GO:0061036)	4/17	7.036700e-04	1.899909e-02	0	0	1.211375e+01	8.793617e+01	BMP4;BMP1;GDF6;GDF5
GO_Biological_Process_2023	Negative Regulation Of Cell Differentiation (GO:0045596)	14/207	7.299920e-04	1.947232e-02	0	0	2.887794e+00	2.085703e+01	YAP1;JAG1;CAV1;WNT5A;TWIST1;GDF5;TENT5C;ACTB;BMP4;ENPP1;TRIB3;CALR;NKX3-2;ADAMTS7
GO_Biological_Process_2023	Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079)	8/79	7.848248e-04	2.068574e-02	0	0	4.458851e+00	3.188101e+01	CDKN1A;CCNB1;CCND1;CDC6;NR2F2;CDC25C;CDC25A;CDKN3
GO_Biological_Process_2023	Positive Regulation Of Angiogenesis (GO:0045766)	10/119	8.024343e-04	2.075179e-02	0	0	3.638206e+00	2.593262e+01	PKM;SERPINE1;WNT5A;TWIST1;HMGA2;VEGFC;EMILIN1;THBS1;RUNX1;VEGFA
GO_Biological_Process_2023	Artery Morphogenesis (GO:0048844)	5/30	8.060768e-04	2.075179e-02	0	0	7.885020e+00	5.616761e+01	PDGFRB;BMP4;TGFB2;JAG1;VEGFA
GO_Biological_Process_2023	Mitotic Nuclear Division (GO:0140014)	6/45	8.350437e-04	2.125042e-02	0	0	6.073334e+00	4.304795e+01	KIF18B;UBE2C;NCAPG2;CENPK;NDC80;ZWINT
GO_Biological_Process_2023	Protein Localization To Chromosome, Centromeric Region (GO:0071459)	4/18	8.869947e-04	2.206524e-02	0	0	1.124791e+01	7.904660e+01	CDK1;TTK;KNL1;CENPA
GO_Biological_Process_2023	Regulation Of Cell Cycle G2/M Phase Transition (GO:1902749)	4/18	8.869947e-04	2.206524e-02	0	0	1.124791e+01	7.904660e+01	CDKN1A;CENPF;CDK2;AURKA
GO_Biological_Process_2023	Myofibril Assembly (GO:0030239)	6/46	9.403566e-04	2.313277e-02	0	0	5.921197e+00	4.126631e+01	PDGFRB;PDGFRA;SIX4;TPM1;MYL9;MYPN
GO_Biological_Process_2023	Actin Filament Organization (GO:0007015)	11/144	9.916753e-04	2.412713e-02	0	0	3.282510e+00	2.270221e+01	CNN2;ENAH;CNN1;SVIL;BAIAP2L1;TPM4;ACTN1;TPM2;TPM1;PLS3;SHROOM3
GO_Biological_Process_2023	Regulation Of Nuclear Division (GO:0051783)	4/19	1.101535e-03	2.650868e-02	0	0	1.049751e+01	7.149906e+01	CDCA2;CAV2;RCC1;CDC25C
GO_Biological_Process_2023	Mitotic DNA Replication Checkpoint Signaling (GO:0033314)	3/9	1.159182e-03	2.759601e-02	0	0	1.965222e+01	1.328498e+02	ORC1;CLSPN;TICRR
GO_Biological_Process_2023	Positive Regulation Of Vasculature Development (GO:1904018)	9/104	1.176748e-03	2.771618e-02	0	0	3.751966e+00	2.530701e+01	SERPINE1;WNT5A;TWIST1;HMGA2;VEGFC;EMILIN1;THBS1;RUNX1;VEGFA
GO_Biological_Process_2023	Actin Filament Bundle Assembly (GO:0051017)	5/33	1.262482e-03	2.942248e-02	0	0	7.039112e+00	4.698379e+01	BAIAP2L1;CALD1;PLS3;PAWR;HSP90B1
GO_Biological_Process_2023	Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0030071)	6/49	1.318287e-03	3.018603e-02	0	0	5.507241e+00	3.652084e+01	CDC20;CENPE;CCNB1;UBE2C;MAP3K20;CDC6
GO_Biological_Process_2023	Regulation Of Response To External Stimulus (GO:0032101)	10/127	1.322513e-03	3.018603e-02	0	0	3.388041e+00	2.245669e+01	PDGFRA;BST1;ANXA1;TRIM5;APLP2;CAV1;WNT5A;AGTR1;IGF2BP1;CD36
GO_Biological_Process_2023	Response To Ketone (GO:1901654)	4/20	1.349990e-03	3.019069e-02	0	0	9.840909e+00	6.502536e+01	YAP1;TGFB2;CAV1;THBS1
GO_Biological_Process_2023	Positive Regulation Of Phospholipase Activity (GO:0010518)	4/20	1.349990e-03	3.019069e-02	0	0	9.840909e+00	6.502536e+01	PDGFRB;ARF4;PDGFRA;AGTR1
GO_Biological_Process_2023	Embryonic Limb Morphogenesis (GO:0030326)	5/34	1.450186e-03	3.210712e-02	0	0	6.796035e+00	4.441932e+01	TFAP2A;OSR2;TGFB2;MAP3K20;TWIST1
GO_Biological_Process_2023	Negative Regulation Of Programmed Cell Death (GO:0043069)	20/381	1.528308e-03	3.350172e-02	0	0	2.213753e+00	1.435308e+01	TFAP2A;ARF4;ANXA1;NIBAN2;TFRC;TSLP;ANGPT1;WNT5A;PLAUR;HMGA2;FSTL1;THBS1;VEGFA;HSP90B1;BMP4;SIX4;AXL;CDK1;BIRC5;CD44
GO_Biological_Process_2023	CRD-mediated mRNA Stabilization (GO:0070934)	3/10	1.625401e-03	3.383177e-02	0	0	1.684389e+01	1.081715e+02	IGF2BP1;IGF2BP3;IGF2BP2
GO_Biological_Process_2023	Induction Of Positive Chemotaxis (GO:0050930)	3/10	1.625401e-03	3.383177e-02	0	0	1.684389e+01	1.081715e+02	NTF3;VEGFC;VEGFA
GO_Biological_Process_2023	Peptidyl-Proline Hydroxylation (GO:0019511)	3/10	1.625401e-03	3.383177e-02	0	0	1.684389e+01	1.081715e+02	P4HA1;P3H2;P4HB
GO_Biological_Process_2023	Protein Localization To Condensed Chromosome (GO:1903083)	3/10	1.625401e-03	3.383177e-02	0	0	1.684389e+01	1.081715e+02	CDK1;TTK;KNL1
GO_Biological_Process_2023	Metaphase Plate Congression (GO:0051310)	6/51	1.628161e-03	3.383177e-02	0	0	5.261934e+00	3.378322e+01	CENPE;CCNB1;CENPF;KIF2C;CEP55;NDC80
GO_Biological_Process_2023	Positive Regulation Of Blood Coagulation (GO:0030194)	4/21	1.635049e-03	3.383177e-02	0	0	9.261557e+00	5.942291e+01	PLAU;SERPINE1;EMILIN1;THBS1
GO_Biological_Process_2023	Epithelial Cell Differentiation (GO:0030855)	10/132	1.768087e-03	3.624578e-02	0	0	3.248349e+00	2.058757e+01	BMP4;YAP1;TAGLN;JAG1;ANXA1;PGK1;CDK1;FSTL1;E2F7;VEGFA
